✓,Параметр,Тип поля,Допустимые значения,Обязательное,Синонимы Veber,Синонимы Sturman,Функция нормализации,Описание
TRUE,Параметр: Тип товара,enum,Оптический монокуляр; Система Кеплера; Цифровой монокуляр,,,,,"Классический монокуляр с оптической системой линз. Используется для наблюдения на средние и дальние дистанции, не содержит электронных компонентов. Монокуляр с цифровым модулем, может включать экран, запись фото/видео, ИК-подсветку. Применяется в условиях низкой освещённости, для видеонаблюдения и охоты. Тип оптической конструкции, основанный на линзах Кеплера. Используется для моделей с увеличенным полем зрения и прямым изображением. Уточняется только при наличии технического подтверждения."
TRUE,Параметр: Бренд,формат,"Название бренда, как в оригинале, пример: Levenhuk",,,,,"Значения указываются строго в оригинальном написании на латинице (без транслитерации), с заглавной первой буквой (например: Levenhuk). Использование заглавных или строчных всех букв не допускается."
TRUE,Параметр: Серия,формат,"Название серии товара, пример: Karma BASE",,,,,"Значения указываются точно в соответствии с оригинальным названием, без транслитерации или перевода.
 
 Первая буква заглавная, остальные — строчные (если это не аббревиатура или торговое имя в верхнем регистре).
 
 Не добавлять бренд в это поле (например, писать просто Wise, а не Levenhuk Wise).
 Не дублировать тип товара (не нужно Monovid monocular, достаточно Monovid). Если серия обозначена буквенно-цифровым кодом (например, VM WP), сохраняется оригинальное написание.Если название серии состоит из двух слов — писать через пробел, каждое с заглавной (например, Real Scope)."
TRUE,Параметр: typePrefix,формат,Пример: Монокуляр,,,,,"Параметр typePrefix используется для задания общего типа товара, который будет отображаться перед названием в фидах или в карточках на маркетплейсах (например, в Яндекс.Маркете). Это влияет на читаемость названия и корректную категоризацию.
 ✅ Рекомендации по параметру typePrefix:
 
  Для оптических монокуляров указывать строго:
  Монокуляр — с заглавной буквы.
 
  Избегать написания с маленькой буквы (монокуляр) — это снижает читаемость и может повлиять на внешний вид заголовков на маркетплейсах.
 
  Не использовать множественное число или другие формулировки (например, «монокуляры», «прибор» и т. д.)."
TRUE,Параметр: model,текст,"Модель товара, включая все буквенно-цифровые обозначения",,,Модель,normalizeModel,"В большинстве случаев в параметр model бренд включать не нужно — он указывается отдельно в поле Бренд. Однако есть исключения, когда:
 ✅ Включать бренд/серию в model — если:
 
  Название модели по-другому не существует без бренда или серии, то есть «Levenhuk Wise Plus 10x42» — это не просто «10x42», а конкретная фирменная модель с уникальным обозначением.
 
  У разных брендов есть идентичные обозначения — например, «10x25» встречается у многих производителей, и без указания серии или бренда нельзя однозначно понять, о каком товаре речь.
 
 🚫 Не включать бренд/серию в model, если:
 
  Модель универсальна (например, просто «10x25»), а бренд указан отдельно.
 
 Параметр model — один из ключевых для идентификации товара. Он должен быть однозначным, кратким и не включать лишних описательных слов, таких как цвет, характеристики и свойства (всё это заполняется в других полях).
 ✅ Рекомендации по параметру model:
 
  Указывать только название модели, без дополнительных характеристик. Примеры корректных значений:
 
  10x25
 
  10x25 Brown Camo
 
  10–25x42 WP
 
  4.2x12 Optec
 
  Избегать:
 
  Повторов цвета (черный, зелёный и т. д.) — они указываются отдельно в параметре Цвет.
 
  Уточнений по покрытиям, типам стекла, конструкциям — это не часть модели.
 
  Повторяющихся значений (10x42, 10x42, зеленый — нужно оставить одно значение 10x42). 
  Указание бренда в model дублирует поле Бренд, а название серии уже вынесено в отдельный параметр Серия.
 
 💡 Итого — рекомендации:
 
  Если у модели есть уникальное фирменное название или серия — включать (например, Wise Plus 10x42).
 
  Если это обычное обозначение по кратности и объективу — не включать (например, просто 10x25).
 
  Сам бренд (например, Levenhuk, Bresser и т. п.) в model — только если он входит в состав официального имени модели."
TRUE,"Параметр: Кратность увеличения, крат",формат,"Целое число, пример: 10",,"Увеличение; Диапазон увеличения, крат; Увеличение, крат","Увеличение; Диапазон увеличения, крат; Увеличение, крат",,Целое число. Указывается без единиц измерения и дополнительных символов. Только цифры.
TRUE,"Параметр: Диаметр объектива, мм",формат,"Целое число, пример: 42",,"Диаметр объектива; Диаметр объектива (апертура), мм; Объектив, диаметр","Диаметр объектива; Диаметр объектива (апертура), мм",,Целое число. Указывается без «мм» и пробелов. Только цифры.
TRUE,Параметр: Поле зрения на 1000 метров,формат,"Целое число, пример: 122",,Поле зрения на 1000м; Линейное поле зрения (1000 м),Поле зрения на 1000м,,"Целое число. Обозначает ширину обзора в метрах на дистанции 1000 м. Указывается только число, без единиц."
TRUE,Параметр: Оптическое покрытие,enum,Однослойное; Многослойное; Полное многослойное (FMC),,Покрытие линз; Оптические покрытия; Покрытие; Оптическое просветление,Покрытие линз; Оптические покрытия; Покрытие,normalizeCoating,"Допускаются только три типа просветляющего покрытия. Все остальные характеристики (антибликовое, фазокорректирующее и др.) указывать в параметре «Специальное покрытие»."
TRUE,Параметр: Марка стекла,enum,BaK-4; BK-7; ED; K-9,,Материал оптики; Материал призм; Стекло призм,Материал оптики; Материал призм,normalizeGlassType,"Используются только стандартизованные обозначения с правильным регистром. Заглавная «K» — это часть технической маркировки стекол типа Krone по немецкой системе Schott. Форматы вроде «Bak-4», «Bk-7», «оптическое стекло» — не допускаются."
TRUE,Параметр: Призменная схема,enum,PORRO; ROOF,,Тип призмы; Система призм,Тип призмы,normalizePrismType,Указывать в верхнем регистре. Формат Roof недопустим. Используются только стандартные обозначения схем.
TRUE,Параметр: Назначение,enum,Для охоты; Для туризма; Для рыбалки; Для наблюдения за природой; Для детей; Для военных задач; Для ночных наблюдений; Для универсального применения; Для наблюдений в полевых условиях; Морской,,Назначение,Назначение,,"Используются словоформы в предложном падеже — чтобы корректно подставлялись в SEO-описание (например: «для туризма», а не «туристический»). Значения разделяются двойным решётным разделителем: ##. Первая буква каждого значения — заглавная, остальные — строчные (например: Для туризма##Для охоты)."
TRUE,Параметр: Тип кратности,enum,Фиксированная; Переменная (zoom),,,,,"В параметре «Тип кратности» допускаются только два значения:
 — Фиксированная (если кратность постоянна);
 — Переменная (zoom) (если прибор поддерживает зум).
 Значения «Постоянная» и «Цифровое увеличение» не использовать. Цифровое увеличение, если применимо, указывать в отдельном параметре."
TRUE,"Параметр: Выходной зрачок, мм",формат,"Десятичное число через точку, пример: 4.2",,"Диаметр выходного зрачка, мм; Диаметр выходного зрачка; Выходной зрачок","Диаметр выходного зрачка, мм; Диаметр выходного зрачка; Выходной зрачок",,"В параметре «Выходной зрачок, мм» указывается числовое значение диаметра светового пучка, выходящего из окуляра.
 Если не задано производителем, рассчитать по формуле: объектив ÷ кратность.
 Значение указывается в миллиметрах, с одной или двумя десятичными. Пример: 5, 5.25."
TRUE,"Параметр: Угол обзора, °",формат,"Десятичное число через точку, пример: 6.8",,Угловое поле зрения; Угол зрения,Угловое поле зрения; Угол зрения,,"В параметре «Угол обзора, °» указывается реальный угол поля зрения, в градусах.
 Значение должно быть числовым, без символов, в формате X.X.
 Не путать с полем зрения в метрах (они указываются в отдельном параметре).
 Пример корректного значения: 6.3."
TRUE,Параметр: Способ фокусировки,enum,Автоматическая Free Focus; Центральная,,Способ фокусировки; Фокусировка,Способ фокусировки,,"В параметре «Способ фокусировки» указывается способ наведения на резкость. Допустимые значения:
 
 • Центральная
 • Автоматическая Free Focus
 
 Используется стандартное написание с заглавной буквы, без сокращений."
TRUE,"Параметр: Минимальная дистанция фокусировки, м",формат,"Формат: Число с точкой,в метрах, без единиц измерения. Пример: 2.5",,"Минимальная дистанция фокусировки; Минимальная дистанция; Фокусное расстояние;
 Фокусное расстояние, м; Минимальное фокусное; Фокусировка от; Минимальная дистанция фокусировки (м); Минимальное расстояние фокусировки","Минимальная дистанция фокусировки; Минимальная дистанция; Фокусное расстояние;
 Фокусное расстояние, м; Минимальное фокусное; Фокусировка от; Минимальная дистанция фокусировки (м)",,"Требования:
  Указывается минимальное расстояние, с которого прибор может сфокусироваться на объекте.
  Значение — только число, без текста, диапазонов и единиц (м, метров, м.).
  Используется только это название параметра.
  Все варианты синонимов или дублирующие поля, такие как:
  Фокусное расстояние, м, Минимальное фокусное, Фокусировка от, Минимальная дистанция фокусировки (м)
  ❌ НЕ допускаются — приводят к несопоставлению в системе InSales."
TRUE,Параметр: Специальное покрытие,enum,Антибликовое Ultra Wide Band™; Водоотталкивающее AquaDura™; Водоотталкивающее RainGuard HD™; Голубое; Зеленое; Просветляющее HighLux-System HLS™; Пурпурное; Рубиновое; Сверхширокополосное; Синее; Трудноистираемое; Фазокорректирующее,,,,,"Используется для дополнительных покрытий, не связанных напрямую с просветлением линз. Несколько значений разделяются через ##.
 В параметре «Специальное покрытие» указываются фирменные или защитные технологии обработки линз, такие как: антибликовое, водоотталкивающее, фазокорректирующее, трудноистираемое и пр., включая товарные названия.
 Основные типы просветления (однослойное, многослойное, FMC) сюда не включаются — они указываются только в параметре «Оптическое покрытие». Пример: Фазокорректирующее, Водоотталкивающее AquaDura™."
TRUE,Параметр: Материал корпуса,enum,Пластик; Поликарбонат; Композитный (ABS); Алюминиевый сплав; Латунь; Металл,,Корпус; Материал,Корпус,,"Использовать только существительные, не прилагательные. Формулировки типа «Пластиковый» или «Поликарбонатный» не допускаются. Все значения — с заглавной буквы, без лишних сокращений. Несколько материалов разделяются через ## при необходимости."
TRUE,Параметр: Покрытие корпуса,enum,Обрезиненное; Анодированное; Лакокрасочное; Полимерное покрытие,,,,,"Заполняется с заглавной буквы. При наличии нескольких покрытий допускается разделение через ##.
 Формулировки типа «Резиновое» не допускаются — использовать «Обрезиненное» или «Прорезиненное» по смыслу."
TRUE,Параметр: Защита от влаги и пыли,enum,Влагозащищенный; Водозащищенный; Водонепроницаемый,,Пыле-влагозащищенность; Защита от дождя,Пыле-влагозащищенность,normalizeWaterproofing,"Используется словесное описание уровня защиты, которое понятно большинству пользователей. Допустимые значения:
 
  Влагозащищённый — защищён от капель, лёгкого дождя (аналог IPX4–IPX5).
 
  Водозащищённый — выдерживает струи, кратковременное погружение (аналог IPX6–IPX7).
 
  Водонепроницаемый — герметичный корпус, допускается полное погружение (IPX7 и выше). Используется только если в описании модели указана возможность погружения.
 
 🔸 Важно:
 Значение «Водонепроницаемый» разрешено только при наличии подтверждающей степени защиты (например, IPX7 и выше) или WP/Nitrogen (герметичное заполнение)."
TRUE,Параметр: Степень защиты,enum,IP65; IPX4; IPX5; IPX7; IPX8,,,,,"Указывается только при наличии точного IP-рейтинга в документации или на упаковке модели. Примеры:
 
  IP65 — полная пыленепроницаемость + защита от струй воды
 
  IPX4, IPX5, IPX7, IPX8 — стандарт влагозащиты по шкале IPX
 
 Если степень IP отсутствует, поле не заполняется.
 💡 Обязательная связка
 
 Если указано:
 
  Степень защиты = IPX7 → Защита от влаги и пыли = Водонепроницаемый
 
  Степень защиты = IPX4 → Защита от влаги и пыли = Влагозащищённый"
TRUE,Параметр: Газовое заполнение,enum,Азот,,,,,"Параметр: Газовое заполнение
 
 Допустимое значение:
 
  Азот
 
 📌 Запрещённые варианты:
 
  «Азотом» — нарушает единообразие
 
  Любые уточнения («Азотное заполнение», «Заполнен азотом») — использовать только в текстовом описании товара, не в параметрах
 
 💡 Если в спецификации не указано наличие газового заполнения — поле не заполняется."
TRUE,"Параметр: Диапазон рабочих температур, °С",формат,"Диапазон с тире, пример: –15…+40",,"Диапазон рабочих температур, °С; Диапазон рабочих температур","Диапазон рабочих температур, °С",,"Параметр: Диапазон рабочих температур, °C
 
 📌 Формат:
 
  Использовать длинное тире (–, U+2013) между числами
 
  Указывать неразрывный диапазон: без кавычек, без пробелов
 Если температурный диапазон неизвестен или отсутствует в технической документации — поле не заполняется.
 
  Пример: –10…+55
 
 ⚠️ Нельзя:
 
  Кавычки: '–10…+55' → ❌
 
  Короткие тире/дефисы: -10...+55 → ❌
 
  Пробелы между числами: –10 … +55 → ❌
 
  Указывать только одно значение (например, –10) → ❌"
TRUE,Параметр: Особенности,enum,Азотное заполнение; Водонепроницаемый; Защита от запотевания; Компактный корпус; Регулируемые наглазники; Стабилизация изображения; Ночное видение; Компас; Переменная кратность (Zoom); Для наблюдений в очках; Измерительная сетка; Дальномер,,,,,"Параметр: Особенности
 
 📌 Формат:
 
  Использовать заглавные буквы в начале каждого значения.
 
  Несколько значений — через разделитель ## (без пробелов до/после).
 
  Пример: Азотное заполнение##Защита от запотевания##Компас
 
 📌 Допустимые значения (унифицированный список):
 
  Азотное заполнение
 
  Водонепроницаемый
 
  Защита от запотевания
 
  Компактный корпус
 
  Регулируемые наглазники
 
  Стабилизация изображения
 
  Ночное видение
 
  Компас
 
  Переменная кратность (Zoom)
 
  Для наблюдений в очках
 
  Измерительная сетка
 
  Дальномер
 
 📌 Нельзя использовать:
 
  Синонимы и повторы: Азотный, Азот, Азотное заполнение → оставить одно: Азотное заполнение
 
  Повторение слов «корпус», «модель», если это уже указано в других параметрах.
 
  Водонепроницаемый и влагозащищённый одновременно — оставить только актуальное.
 
 ⚠️ Если значение не указано в ТТХ, но очевидно подтверждено визуально (например, есть регулировка наглазника) — можно включить."
TRUE,Параметр: Удаление выходного зрачка,формат,"Число, мм, без «мм», пример: 14",,Удаление выходного зрачка; Вынос зрачка,Удаление выходного зрачка; Вынос зрачка,,"Значения указываются в миллиметрах, без единицы измерения (только число: 15, 18, 20.5).
 
  Допустима одна цифра после запятой для нецелых значений.
 
  Не допускается указание даты или формата времени (например, 2025-04-08 00:00:00 — ошибка импорта).
 
  Значения должны быть в диапазоне от 5 до 25 мм, ориентируясь на техническую документацию.
 
  При отсутствии данных поле не заполняется.
 
  Значение начинается с заглавной буквы в названии параметра, но само значение — строчное (только число).
 
 Пример корректного заполнения:
 18, 15.4, 20"
TRUE,Параметр: Размеры,enum,классический; компактный; маленький,,,,,"Определяет субъективный типоразмер. Используется в фильтрах и описаниях:
 Компактный — помещается в карман; Классический — средний размер; Полноразмерный — для стационарных наблюдений. Указывается одно значение с заглавной буквы."
TRUE,Параметр: Диоптрийная коррекция,enum,±4; -12/+12; -18/+18; -2; 5/+2; -9/+9; ±2; ±3; ±4; ±40 / -30; ±5; ±6,,Параметр: Диоптрийная наводка; Диоптрийная наводка; С диоптрийной коррекцией; Диапазон диоптрийной коррекции,Параметр: Диоптрийная наводка; Диоптрийная наводка; С диоптрийной коррекцией,,"Параметры «Диоптрийная наводка» и «С диоптрийной коррекцией» объединяются в один:
 Параметр: Диоптрийная коррекция
 Формат значений:
 
  Числовой диапазон: ±3, ±4, ±5, -4/+4 и т. д.
 
  При отсутствии числовых данных: есть
 
 Примеры корректных значений:
 
  ±4 — симметричная коррекция
 
  -2/+4 — асимметричная коррекция (если указана производителем)
 
  есть — если известен только факт наличия, без чисел
 
 Правила:
 
  Использовать только один параметр: «Диоптрийная коррекция»
 
  Все числовые значения приводить к единому синтаксису: ±4 (если симметрично), -4/+4 (если указано так у производителя)
 
  Если значение неизвестно, использовать есть, но только если у прибора явно присутствует диоптрийная настройка
 
  Не допускать текста в формате «около 4», «до 5» и т. п. — только чёткое числовое или есть
 
  Не использовать единицы измерения (дптр, D) — только значение"
TRUE,Параметр: Шкала измерений,формат,"Текстовое описание, не более 50 символов",,,,,"Пример: Визирная сетка для стрельбы, С дальномерной сеткой. Не использовать более одного значения. Только при наличии в конструкции прибора."
TRUE,Параметр: Объективы,формат,"Текст: тип линз и покрытие, пример: 4 элемента в 3 группах",,,,,"Формат значений:
 
  Используем конструктивную формулу:
  X оптических элемента в Y группах
  Пример: 3 оптических элемента в 2 группах
 
 Требования:
 
  Сохранять числовую точность: если указано в источнике — не округлять, не переиначивать.
 
  Не использовать сокращения: пишем полностью — «оптических элемента», «группах».
 
  Допускается отсутствие этих параметров, если информация не предоставлена производителем (в этом случае поля остаются пустыми).
 
  Единый стиль написания — все слова со строчной буквы, кроме начала строки.
 
 Примеры корректных значений:
 
  Объективы: 3 оптических элемента в 2 группах
 
  Окуляры: 2 оптических элемента в 1 группе"
TRUE,Параметр: Окуляры,enum,Текст: тип линз; пример: 5 элементов в 3 группах,,,,,"Формат значений:
 
  Используем конструктивную формулу:
  X оптических элемента в Y группах
  Пример: 3 оптических элемента в 2 группах
 
 Требования:
 
  Сохранять числовую точность: если указано в источнике — не округлять, не переиначивать.
 
  Не использовать сокращения: пишем полностью — «оптических элемента», «группах».
 
  Допускается отсутствие этих параметров, если информация не предоставлена производителем (в этом случае поля остаются пустыми).
 
  Единый стиль написания — все слова со строчной буквы, кроме начала строки.
 
 Примеры корректных значений:
 
  Объективы: 3 оптических элемента в 2 группах
 
  Окуляры: 2 оптических элемента в 1 группе"
TRUE,Параметр: Сумеречный фактор,формат,"Десятичное число через точку, пример: 20.5",,Фактор сумерек; Сумерки (фактор),Фактор сумерек,,"Описание:
 Сумеречный фактор (Twilight Factor) — это расчетный параметр, отражающий теоретическую эффективность прибора в условиях слабого освещения. Вычисляется по формуле:
 Сумеречный фактор=кратность×диаметр объектива
 Сумеречный фактор=кратность×диаметр объектива
 ​
 Рекомендации по заполнению:
 
  ✅ Формат значения:
  Указывать только десятичные числа через точку (например, 18.3, 14.1, 12.6)
 
  🚫 Запрещены:
 
  Диапазоны (14–25 → ошибка)
 
  Значения с лишними символами или пробелами
 
  Даты (например, 2025-02-11 00:00:00 — удалить)
 
  ⚠️ Если значение отсутствует:
  При наличии данных по кратности и диаметру объектива — рассчитать по формуле и округлить до 1 знака после запятой.
 
  Пример:
  При 8×42:
  8×42≈336≈18.3
  8×42
 
 ​≈336
 ​≈18.3
 
 📌 Назначение параметра:
 Отображается в характеристиках товара, влияет на восприятие прибора как пригодного для сумерек и слабого освещения."
TRUE,Параметр: Относительная яркость,формат,"Десятичное число через точку, пример: 17.6",,,,,"Описание:
 Относительная яркость характеризует количество света, проходящего через оптику. Вычисляется как квадрат диаметра выходного зрачка:
 Относительная яркость=(диаметр выходного зрачка)2
 Относительная яркость=(диаметр выходного зрачка)2
 Рекомендации по заполнению:
 
  ✅ Формат значения:
  Только десятичные числа через точку (например, 27.6, 14.1, 4.0)
 
  🚫 Запрещены:
 
  Диапазоны (9,61–1 → ошибка)
 
  Даты (например, 2025-06-27 00:00:00 — удалить)
 
  Повторы (дублирующиеся значения — удалить)
 
  ⚠️ Если значение отсутствует:
  Рассчитать на основе диаметра выходного зрачка.
  Пример:
  Если выходной зрачок = 5.25 мм:
  5.252=27.6
  5.252=27.6
 
  📌 Назначение параметра:
  Используется как дополнительный показатель светосилы и пригодности прибора для наблюдений в условиях плохой освещённости."
TRUE,"Параметр: Разрешающая способность, угл. секунд",enum,Целое или десятичное число; пример: 6 или 6.5,,Разрешающая способность; Разрешение,Разрешающая способность; Разрешение,,"Описание:
 Характеризует способность оптического прибора различать мелкие детали на расстоянии. Измеряется в угловых секундах. Меньшее значение означает более высокую чёткость изображения.
 Рекомендации по заполнению:
 
  ✅ Формат значения:
  Только десятичные числа с точкой: 3.6, 5.0, 8.0.
 
  ⚠️ Обязательно уточнять источник:
  Значение берётся только с официального сайта поставщика или технической документации.
 
  🚫 Не допускать:
 
  Диапазонов или формата ""от...до""
 
  Вставки символов, кроме цифр и точки
 
  Значений выше 10.0 — неинформативно
 
  📌 Назначение параметра:
  Используется в описании прибора для оценки его чёткости и пригодности к наблюдению удалённых объектов (например, прицеливания, охоты, наблюдений за деталями природы)."
TRUE,Параметр: Наглазники окуляров,enum,Поворотно-выдвижные; Складные; Резиновые съемные; 4-позиционные; Поворотные,,Наглазники окуляров; Наглазник,Наглазники окуляров; Наглазник,,"Назначение: Указывает конструктивные особенности окулярных наглазников, влияющих на комфорт наблюдения, особенно для пользователей с очками.
 Допустимые значения:
 
  Поворотно-выдвижные
 
  Складные
 
  Резиновые съемные
 
  4-позиционные (если конструкция фиксируется по щелчкам)
 
  Поворотные (если без выдвижения)
 
 Рекомендации по заполнению:
 
  ✅ Использовать унифицированные формулировки:
 
  только с заглавной буквы
 
  без дублирующих форматов (резиновый, резиновые, съёмный резиновый объединяем → «Резиновые съемные»)
 
  ⚠️ Не допускать:
 
  Повторов (поворотно-выдвижной, поворотно-выдвижные)
 
  Перемешивания стилей написания (Twist-Up → заменить на русскую версию)
 
  🚫 Исключить:
 
  Значения с ошибками или в нижнем регистре
 
  Варианты, не раскрывающие конструктив (например, просто «выдвижные» — заменить на «Поворотно-выдвижные»)"
TRUE,Параметр: Дополнительно,enum,"Список через точку с запятой, пример: Поворотные наглазники; Защита от влаги",,,,,"Формат заполнения:
 – Значения перечисляются через запятую
 – Только уникальные, фактические особенности, которые:
 
  не отражены напрямую в других параметрах,
 
  не повторяются (например, если уже есть параметр «Особенности» или «Совместимость»).
 
 📋 Допустимые примеры значений:
 
  Возможность установки на штатив
 
  Встроенные компас и дальномер
 
  Стабилизация изображения
 
  Совместим с подставкой Kenko Micro Lens Stand
 
  Призмы с фазовой коррекцией
 
  Макронасадка M25x0,75
 
 ❗ Что не рекомендуется:
 
  Повторять значения, уже отражённые в других параметрах («Водонепроницаемый», «Газозаполнение» и т.д.)
 
  Указывать абстрактные или рекламные формулировки
 
  Добавлять описания, не относящиеся к характеристикам (например: «оптимален для туризма»)"
TRUE,Параметр: Крепление к штативу,enum,Есть; Нет,,,,,"Формат значений:
 – Использовать строго унифицированные формулировки.
 – Допустимые значения:
 
  Стандартное крепление 1/4"" — если есть возможность установки на штатив
 
  Нет — если крепление отсутствует
 
 📋 Что нужно исключить:
 
  Значения «да», «есть» — заменять на «Стандартное крепление 1/4""»
 
  Повторы типа «1/4""» без пояснений — заменить на полную формулировку
 
  Другие нестандартизированные ответы"
TRUE,Параметр: Чехол,enum,Мягкий тканевый чехол; Жёсткий кейс,,Чехол в комплекте,Чехол в комплекте,,"Допустимые значения: Мягкий тканевый чехол, Жёсткий кейс, Нет. Не использовать значения 'да', 'есть'. Все варианты унифицируются, первая буква — заглавная."
TRUE,Параметр: Размер,enum,Компактный; Полноразмерный,,Размер; Размеры,Размер; Размеры,,"Допустимые значения:
 
  Компактный – модели с небольшими габаритами, которые легко помещаются в карман или ладонь.
 
  Классический – модели средних размеров, универсальные по применению.
 
  Полноразмерный – крупные приборы, часто предназначенные для стационарного наблюдения или установки на штатив.
 
 ✅ Требования к оформлению:
 
  Писать с заглавной буквы: Компактный, Классический, Полноразмерный.
 
  Указывать только одно значение.
 
  Не дублировать эту информацию в других параметрах (например, в «Особенности» или «Чехол»)."
TRUE,Параметр: google_product_category,формат,5282.0,,,,,"Для оптических монокуляров использовать код:
 5282 (или 5282.0 в зависимости от формата системы).
 
 Указывать в числовом формате без текста — только значение.
 
 Не оставлять поле пустым, так как оно используется при интеграции с фидами Google и может повлиять на модерацию товара в Merchant Center."
TRUE,Параметр: Наличие измерительной сетки,enum,Есть; Нет,,,,,"Допустимые значения: Есть / Нет. Указывается только если в приборе встроена шкала или сетка, используемая для измерения или наведения. Подтверждается визуально или из документации."
TRUE,Параметр: Стабилизация изображения,enum,Есть; Нет,,,,,Допустимые значения: Есть / Нет. Применимо только к приборам с активной или оптической стабилизацией. Указывать при наличии соответствующей функции.
TRUE,Параметр: Низкодисперсионные линзы,enum,ED; Есть; Нет,,,,,"Допустимые значения: ED / Есть / Нет. Указывается, если применяются ED-линзы. Значение 'Есть' допускается при отсутствии точной маркировки, но при наличии упоминания низкодисперсионной оптики."
TRUE,Параметр: Компас,enum,Есть; Нет,,,,,"Допустимые значения: Есть / Нет. Указывается, если в прибор встроен компас. Подтверждается по фото или описанию производителя."
TRUE,Параметр: Дальномер,enum,Есть; Нет,,,,,"""Указывать только в моделях, где дальномер встроен в конструкцию, с указанием типа (например, Лазерный)."""
TRUE,"Параметр: Межзрачковое расстояние, мм",текст,,,Межзрачковое расстояние,Межзрачковое расстояние,normalizeRange,
